2020-02-15T17:09:00.850558 : Item Doritos UPDATED.
2020-02-15T17:11:27.532311 : Item Milky Way UPDATED.
2020-02-15T17:13:03.135963 : Item Milky Way UPDATED.
2020-02-15T17:25:21.027293 : Item Doritos UPDATED.
2020-02-15T19:13:37.927753 : Item Cheetos UPDATED.
2020-02-15T21:11:36.469155 : Item Cheetos VENDED, 6 REMAINING.
2020-02-15T21:12:20.227595 : Item Doritos VENDED, 2 REMAINING.
2020-02-15T21:12:47.861665 : Item Lays Potato Chips VENDED, 3 REMAINING.
2020-02-17T05:58:31.736031 : Item Cheetos VENDED, 5 REMAINING.
2020-02-17T05:59:22.479369 : Item Cheetos VENDED, 4 REMAINING.
2020-02-17T06:00:34.137471 : Item Doritos VENDED, 4 REMAINING.
2020-02-17T09:16:44.238352 : Item Cheetos VENDED, 3 REMAINING.
2020-02-17T09:17:52.099414 : Item Cheetos VENDED, 2 REMAINING.
2020-02-17T09:36:30.215497 : Item Snickers VENDED, 9 REMAINING.
2020-02-17T09:37:12.833787 : Item Cheetos VENDED, 7 REMAINING.
2020-02-17T09:38:39.501348 : Item Cheetos VENDED, 6 REMAINING.
2020-02-17T09:41:56.913957 : Item Cheetos VENDED, 5 REMAINING.
2020-02-17T09:43:25.135046 : Item Cheetos VENDED, 4 REMAINING.
2020-02-17T09:44:16.923840 : Item Cheetos VENDED, 3 REMAINING.
2020-02-17T09:44:42.359632 : Item Cheetos VENDED, 2 REMAINING.
2020-02-17T09:46:09.333863 : Item Cheetos VENDED, 1 REMAINING.
2020-02-17T09:47:01.340611 : Item Doritos VENDED, 3 REMAINING.
2020-02-17T09:47:43.818543 : Item Doritos VENDED, 2 REMAINING.
2020-02-17T09:50:10.634605 : Item Cheetos VENDED, 7 REMAINING.
2020-02-17T10:12:59.321925 : Item Cheetos VENDED, 6 REMAINING.
2020-02-17T10:20:08.371712 : Item Cheetos VENDED, 5 REMAINING.
2020-02-17T11:53:26.882045 : Item Cheetos VENDED, 4 REMAINING.
2020-02-17T11:54:04.847892 : Item Cheetos VENDED, 3 REMAINING.
2020-02-17T11:57:36.208956 : Item Cheetos VENDED, 2 REMAINING.
2020-02-17T11:57:43.948517 : Item Cheetos VENDED, 1 REMAINING.
2020-02-17T12:00:09.628171 : Item Cheetos VENDED, 0 REMAINING.
2020-02-17T12:00:27.602038 : Item Doritos VENDED, 3 REMAINING.
2020-02-17T12:53:18.074329 : Item Doritos VENDED, 2 REMAINING.
2020-02-17T12:54:21.485849 : Item Doritos VENDED, 1 REMAINING.
2020-02-17T12:55:28.039300 : Item Cheetos VENDED, 5 REMAINING.
2020-02-17T12:56:40.700257 : Item Cheetos VENDED, 4 REMAINING.
2020-02-17T12:58:29.671648 : Item Cheetos VENDED, 3 REMAINING.
2020-02-17T12:59:01.555717 : Item Cheetos VENDED, 2 REMAINING.
2020-02-17T13:03:13.071909 : Item Cheetos VENDED, 1 REMAINING.
2020-02-17T13:04:22.839875 : Item Cheetos VENDED, 0 REMAINING.
2020-02-17T13:14:07.709982 : Item Doritos VENDED, 9 REMAINING.
2020-02-17T13:15:42.198201 : Item Doritos VENDED, 8 REMAINING.
2020-02-17T13:17:17.924833 : Item Doritos VENDED, 7 REMAINING.
2020-02-17T13:18:25.866121 : Item Doritos VENDED, 6 REMAINING.
2020-02-17T13:20:36.612812 : Item Doritos VENDED, 5 REMAINING.
2020-02-17T13:22:44.193290 : Item Doritos VENDED, 4 REMAINING.
2020-02-17T13:23:38.493757 : Item Doritos VENDED, 3 REMAINING.
2020-02-17T13:25:08.760591 : Item Doritos VENDED, 2 REMAINING.
2020-02-17T13:26:54.435866 : Item Doritos VENDED, 1 REMAINING.
2020-02-17T13:28:33.170394 : Item Herseys VENDED, 10 REMAINING.
2020-02-17T13:33:53.072167 : Item Doritos VENDED, 10 REMAINING.
2020-02-17T13:38:28.271848 : Item Cheetos VENDED, 9 REMAINING.
2020-02-17T13:51:53.515169 : Item Cheetos VENDED, 8 REMAINING.
2020-02-17T13:52:55.137048 : Item Cheetos VENDED, 7 REMAINING.
2020-02-17T13:54:12.819737 : Item Doritos VENDED, 9 REMAINING.
2020-02-17T13:54:33.554399 : Item Cheetos VENDED, 6 REMAINING.
2020-02-17T13:54:42.228650 : Item Cheetos VENDED, 5 REMAINING.
2020-02-17T13:56:04.821914 : Item Cheetos VENDED, 4 REMAINING.
2020-02-17T13:56:37.562551 : Item Cheetos VENDED, 3 REMAINING.
2020-02-17T13:57:43.534542 : Item Snickers VENDED, 8 REMAINING.
2020-02-17T14:10:15.173496 : Item Cheetos VENDED, 2 REMAINING.
2020-02-17T14:25:14.400348 : Item Doritos VENDED, 8 REMAINING.
2020-02-17T14:28:57.775707 : Item Doritos VENDED, 7 REMAINING.
2020-02-17T14:29:38.833980 : Item Doritos VENDED, 6 REMAINING.
2020-02-17T14:31:40.855825 : Item Doritos VENDED, 5 REMAINING.
2020-02-17T14:38:46.778545 : Item Cheetos VENDED, 9 REMAINING.
2020-02-17T14:39:38.159109 : Item Cheetos VENDED, 8 REMAINING.
2020-02-17T14:59:52.577850 : Item Cheetos VENDED, 7 REMAINING.
2020-02-17T15:01:52.827651 : Item Snickers VENDED, 7 REMAINING.
